Restaurant,Sentiment_Score
10 Downing Street,0.86
13 Dhaba,0.67
"3B's - Buddies, Bar & Barbecue",0.94
AB's - Absolute Barbecues,0.98
Absolute Sizzlers,0.68
Al Saba Restaurant,0.55
American Wild Wings,0.84
Amul,0.75
Arena Eleven,0.9
Aromas@11SIX,0.67
Asian Meal Box,0.41
B-Dubs,0.98
Banana Leaf Multicuisine Restaurant,0.77
Barbeque Nation,0.87
Behrouz Biryani,0.48
Being Hungry,0.68
Beyond Flavours,0.84
Biryanis And More,0.77
Cafe Eclat,0.79
Cascade - Radisson Hyderabad Hitec City,0.86
Chinese Pavilion,0.76
Club Rogue,0.55
Collage - Hyatt Hyderabad Gachibowli,0.68
Cream Stone,0.76
Delhi-39,0.48
Deli 9 Bistro,0.79
Desi Bytes,0.51
Dine O China,0.6
Diners Pavilion,0.67
Domino's Pizza,0.51
Driven Cafe,0.88
Dunkin' Donuts,0.54
Eat India Company,0.65
Faasos,0.58
Feast - Sheraton Hyderabad Hotel,0.85
Flechazo,0.94
Frio Bistro,0.77
GD's,0.79
Gal Punjab Di,0.78
Green Bawarchi Restaurant,0.66
Hitech Bawarchi Food Zone,0.5
Hotel Zara Hi-Fi,0.33
Hunger Maggi Point,0.59
Hyderabad Chefs,0.74
Hyderabadi Daawat,0.77
Hyper Local,0.74
Jonathan's Kitchen - Holiday Inn Express & Suites,0.72
KFC,0.49
KS Bakers,0.77
Karachi Bakery,0.77
Karachi Cafe,0.78
Khaan Saab,0.76
Komatose - Holiday Inn Express & Suites,0.71
Kritunga Restaurant,0.65
La La Land - Bar & Kitchen,0.68
Labonel,0.74
Marsala Food Company,0.67
Mathura Vilas,0.56
Mazzo - Marriott Executive Apartments,0.89
Mohammedia Shawarma,0.48
Momos Delight,0.72
Mustang Terrace Lounge,0.7
NorFest - The Dhaba,0.88
Olive Garden,0.76
Over The Moon Brew Company,0.92
Owm Nom Nom,0.57
Pakwaan Grand,0.47
Paradise,0.96
Pista House,0.68
Pot Pourri,0.67
PourHouse7,0.77
Prism Club & Kitchen,0.87
Royal Spicy Restaurant,0.69
SKYHY,0.72
Sardarji's Chaats & More,0.64
Shah Ghouse Hotel & Restaurant,0.61
Shah Ghouse Spl Shawarma,0.64
Shanghai Chef 2,0.61
Shree Santosh Dhaba Family Restaurant,0.47
Squeeze @ The Lime,0.77
T Grill,0.6
Tandoori Food Works,0.61
Tempteys,0.78
The Chocolate Room,0.5
The Fisherman's Wharf,0.89
The Foodie Monster Kitchen,0.7
The Glass Onion,0.78
The Indi Grill,0.95
The Lal Street - Bar Exchange,0.75
The Old Madras Baking Company,0.83
The Tilt Bar Republic,0.84
Tiki Shack,0.73
Triptify,0.68
Udipi's Upahar,0.81
Ulavacharu,0.67
Urban Asia - Kitchen & Bar,0.75
Yum Yum Tree - The Arabian Food Court,0.69
Zega - Sheraton Hyderabad Hotel,0.94
Zing's Northeast Kitchen,0.75
eat.fit,0.62
